"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Monthly Sales","Sales Trend (90 days) (%)","Monthly Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Width","Height","Length","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B00UFIH9AG","B00UFIH9AG","SSK-75 Jonard Tools Slam Lock Star Key for LC & LG Patterns","JONARD TOOLS","Amazon","Tools & Home Improvement",20546,"Wrenches",19.52,4,539,32,10521.28,779,4.5,"Amazon",12,4704,43,"Small Standard-Size",2.3228346456693,4.8818897637795,0.51181102362205,0.0441,"N/A","N/A","03/01/2023",96,6,17,0.69
"https://amazon.com/dp/B00UFIH9J2","B00UFIH9J2","SSK-85 Jonard Tools Slam Lock Star Key for LB & LS Patterns","JONARD TOOLS","Amazon","Tools & Home Improvement",20546,"Wrenches",19.52,4,539,32,10521.28,778,4.5,"Amazon",9,4704,43,"Small Standard-Size",2.1259842519685,4.9212598425197,0.35433070866142,0.07056,"N/A","N/A","03/01/2023",96,6,17,0.69
"https://amazon.com/dp/B01H3VW8SK","B01H3VW8SK","Jonard Tools SSK-80 Star Key for LG and LB","JONARD TOOLS","Amazon","Tools & Home Improvement",20546,"Wrenches",19.52,4,539,32,10521.28,779,4.5,"Amazon",9,4704,43,"Small Standard-Size",2.25,4.6,0.45,0.0700119823095,"N/A","N/A","03/01/2023",70,6,17,0.69
"https://amazon.com/dp/B076HYLY83","B076HYLY83","SSK-70 Jonard Tools Slam Lock Star Key for LK & LB Patterns","JONARD TOOLS","Amazon","Tools & Home Improvement",20546,"Wrenches",19.03,3,539,32,10257.17,780,4.6,"Amazon",9,4704,43,"Small Standard-Size",2.3228346456693,4.6850393700787,0.51181102362205,0.07056,"N/A","N/A","03/01/2023",66,6,17,0.69
"https://amazon.com/dp/B006962OAI","B006962OAI","Jonard Tools TK-400 3 Piece Splicers Kit with included Splicing Knife, Electrician's Scissors, and Leather Pouch","JONARD TOOLS","Amazon","Tools & Home Improvement",57284,"Wire Strippers",31.95,9,320,9,10224,842,4.6,"Amazon",14,3112,"N/A","Large Standard-Size",3.5433070866142,11.692913385827,1.2204724409449,0.553455,"N/A","N/A","04/01/2023",93,7,5,0.38
"https://amazon.com/dp/B0088PCZ4I","B0088PCZ4I","Jonard Tools Ratcheting Wrench, Head Size 1/2 in. (ASW-R12)","JONARD TOOLS","Amazon","Tools & Home Improvement",27416,"Combination Wrenches",16.95,18,523,-1,9827.17,1905,4.8,"Amazon",15,"N/A","N/A","Small Standard-Size",2.2047244094488,10,0.39370078740157,0.2646,"N/A","N/A","03/01/2023",79,3,10,0.27
"https://amazon.com/dp/B00WJPRL7E","B00WJPRL7E","Jonard Tools ASWS-R716, Stubby Ratcheting Combination Speed Wrench, Angled Head, 7/16""","JONARD TOOLS","Amazon","Tools & Home Improvement",26344,"Combination Wrenches",18.74,15,523,-1,9801.02,1904,4.8,"Amazon",13,"N/A","N/A","Small Standard-Size",2.09,6.22,0.39,0.11025,"N/A","N/A","03/01/2023",95,6,10,0.27
"https://amazon.com/dp/B0069625GG","B0069625GG","Jonard Tools ASW-R716, Ratcheting Combination Speed Wrench, Angled Head, 7/16""","JONARD TOOLS","Amazon","Tools & Home Improvement",26344,"Combination Wrenches",18.21,11,523,-1,9523.83,1907,4.8,"Amazon",15,"N/A","N/A","Small Standard-Size",2.15,9.2,0.5,0.19503337929075,"N/A","N/A","03/01/2023",136,6,10,0.27
"https://amazon.com/dp/B08FMTNKX3","B08FMTNKX3","Jonard Tools AST-200 Cable Saber™ Armored Mid Span Cable Slit & Ring Tool (4 mm-28.6 mm)","JONARD TOOLS","Amazon","Tools & Home Improvement",117261,"Knives & Razor Blades",149.95,6,62,,9296.9,17,4.2,"Amazon",8,"N/A","N/A","Large Standard-Size",2.72,8.74,1.38,0.85995,"N/A","N/A","04/01/2023",33,6,4,3.88
"https://amazon.com/dp/B01646974I","B01646974I","Jonard Tools TK-120 Fiber Prep Kit","JONARD TOOLS","Amazon","Tools & Home Improvement",299136,"Wire Strippers",320.36,"N/A",28,14,8970.08,47,4.5,"Amazon",14,"N/A","N/A","Small Oversize",10.5,11.5,9.25,6.15195,"N/A","N/A","09/01/2022",77,6,10,0.6
